Fish_ID,Event_ID,Taxon_ID,Number,Min,Max,AvgLgth,Area,Comments
20130328153424-324055373.668671,20130328153424-252004563.808441,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-337424516.677856,20130328153424-363182246.685028,20180301132624-56236863.1362915,1,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-338134109.973907,20130328153424-365418732.16629,20180301132624-56236863.1362915,2,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-339941918.849945,20130328153424-804763615.131378,20180301132624-56236863.1362915,1,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-346882760.52475,20130328153424-970589160.919189,20180301132624-56236863.1362915,4,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-347347557.544708,20130328153424-756076574.325562,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-364265203.475952,20130328153424-970589160.919189,20180301132624-56236863.1362915,4,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-393681704.998016,20130328153424-179736554.62265,20180301132624-56236863.1362915,8,5,5,5,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-39786577.2247314,20130328153424-756076574.325562,20180301132624-56236863.1362915,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-401242196.559906,20130328153424-252004563.808441,20180301132624-56236863.1362915,11,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-413124799.728394,20130328153424-365324437.618256,20180301132624-56236863.1362915,14,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-440978765.487671,20130328153424-631080865.859985,20180301132624-56236863.1362915,2,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-469313740.730286,20130328153424-970589160.919189,20180301132624-56236863.1362915,1,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-472720921.039581,20130328153424-179736554.62265,20180301132624-56236863.1362915,5,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-474202811.717987,20130328153424-271023929.11911,20180301132624-56236863.1362915,6,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-484914004.802704,20130328153424-918389856.815338,20180301132624-56236863.1362915,2,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-504530489.444733,20130328153424-790293097.496033,20180301132624-56236863.1362915,2,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-507770359.516144,20130328153424-365418732.16629,20180301132624-56236863.1362915,1,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-544226408.004761,20130328153424-970589160.919189,20180301132624-56236863.1362915,2,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-548934102.058411,20130328153424-274737060.070038,20180301132624-56236863.1362915,11,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-583241939.544678,20130328153424-764620900.154114,20180301132624-56236863.1362915,1,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-58849036.693573,20130328153424-764620900.154114,20180301132624-56236863.1362915,1,2,2,2,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-588654756.546021,20130328153424-631080865.859985,20180301132624-56236863.1362915,3,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-625003695.487976,20130328153424-756076574.325562,20180301132624-56236863.1362915,2,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-628584206.104279,20130328153424-631080865.859985,20180301132624-56236863.1362915,3,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-666606307.029724,20130328153424-607955217.36145,20180301132624-56236863.1362915,1,5,5,5,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-680070161.819458,20130328153424-607955217.36145,20180301132624-56236863.1362915,2,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-750104129.314423,20130328153424-983708381.652832,20180301132624-56236863.1362915,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-776377558.708191,20130328153424-528946757.316589,20180301132624-56236863.1362915,2,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-825375139.713287,20130328153424-58765530.5862427,20180301132624-56236863.1362915,3,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-831064701.080322,20130328153424-756076574.325562,20180301132624-56236863.1362915,2,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-849156975.746155,20130328153424-918389856.815338,20180301132624-56236863.1362915,1,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-87103068.8285828,20130328153424-58765530.5862427,20180301132624-56236863.1362915,1,5,5,5,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-872563421.726227,20130328153424-365324437.618256,20180301132624-56236863.1362915,1,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-873706221.580505,20130328153424-156302034.854889,20180301132624-56236863.1362915,9,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-912976324.558258,20130328153424-970589160.919189,20180301132624-56236863.1362915,3,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-918522596.359253,20130328153424-870190680.027008,20180301132624-56236863.1362915,7,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-958932816.982269,20130328153424-983708381.652832,20180301132624-56236863.1362915,5,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-985437631.607056,20130328153424-983708381.652832,20180301132624-56236863.1362915,4,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-988115370.27359,20130328153424-58765530.5862427,20180301132624-56236863.1362915,9,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-994169056.415558,20130328153424-804763615.131378,20180301132624-56236863.1362915,6,7,7,7,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130626141952-156302034.854889,20130626141952-414032697.677612,20160411125756-407380640.506744,4,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-162838339.805603,20130626141952-414032697.677612,20160411125756-407380640.506744,2,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-16988694.6678162,20130626141952-592458248.138428,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-174484074.115753,20130626141952-592458248.138428,20160411125756-407380640.506744,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-210172474.384308,20130626141952-364018678.665161,20160411125756-407380640.506744,8,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-212330937.385559,20130626141952-790480017.662048,20160411125756-407380640.506744,2,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-227781593.799591,20130626141952-862619340.419769,20160411125756-407380640.506744,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-244146704.673767,20130626141952-961953163.146973,20160411125756-407380640.506744,3,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-272946834.564209,20130626141952-760723590.85083,20160411125756-407380640.506744,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-326157212.257385,20130626141952-524868428.707123,20160411125756-407380640.506744,1,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-345335066.318512,20130626141952-622696697.711945,20160411125756-407380640.506744,1,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-347832679.748535,20130626141952-56236863.1362915,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-369906961.917877,20130626141952-814490020.275116,20160411125756-407380640.506744,2,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-401374340.057373,20130626141952-289562463.760376,20160411125756-407380640.506744,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-410036683.082581,20130626141952-814490020.275116,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-468735992.908478,20130626141952-14017641.544342,20160411125756-407380640.506744,2,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-493692994.117737,20130626141952-592458248.138428,20160411125756-407380640.506744,2,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-506093204.021454,20130626141952-647821187.973022,20160411125756-407380640.506744,2,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-531989693.641663,20130626141952-298165440.559387,20160411125756-407380640.506744,1,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-586100161.075592,20130626141952-774740099.906921,20160411125756-407380640.506744,6,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-615071594.715118,20130626141952-298165440.559387,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-615386247.634888,20130626141952-301948010.921478,20160411125756-407380640.506744,2,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-619187593.460083,20130626141952-862619340.419769,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-645951330.661774,20130626141952-56236863.1362915,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-654499411.582947,20130626141952-709037899.971008,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-684251785.27832,20130626141952-622696697.711945,20160411125756-407380640.506744,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
