Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of spoiled ballots,Number of unused ballots
2008.0,1646.0,1628,783.0,0.0,845.0,17.0,32,1024,920,15.0,270.0,7.0,3.0,456.0
1485.0,1413.0,1413,486.0,11.0,916.0,25.0,31,971,214,36.0,122.0,14.0,0.0,73.0
2310.0,1681.0,1681,514.0,13.0,1154.0,27.0,16,574,869,35.0,144.0,16.0,0.0,570.0
2118.0,1895.0,1895,646.0,13.0,1236.0,30.0,12,1192,505,23.0,114.0,19.0,3.0,228.0
2977.0,2750.0,2735,965.0,19.0,1751.0,47.0,24,1387,1028,51.0,181.0,17.0,1.0,139.0
2525.0,2107.0,2104,774.0,15.0,1315.0,41.0,22,1432,498,41.0,57.0,13.0,4.0,546.0
2456.0,2413.0,2409,887.0,16.0,1506.0,38.0,19,1595,473,40.0,179.0,65.0,2.0,51.0
2325.0,2168.0,2168,798.0,0.0,1370.0,33.0,17,1626,332,40.0,108.0,18.0,0.0,161.0
2732.0,2482.0,2482,761.0,12.0,1705.0,48.0,20,1568,751,22.0,51.0,22.0,4.0,269.0
2420.0,2152.0,2152,756.0,15.0,1380.0,49.0,45,1342,571,25.0,107.0,11.0,1.0,268.0
2715.0,2440.0,2437,820.0,7.0,1610.0,25.0,21,1628,672,29.0,50.0,12.0,3.0,404.0
2398.0,1942.0,1940,303.0,5.0,1631.0,43.0,22,499,1155,34.0,164.0,22.0,1.0,484.0
2150.0,1991.0,1991,708.0,38.0,1245.0,39.0,26,1494,149,62.0,201.0,20.0,5.0,161.0
1704.0,1442.0,1442,647.0,24.0,771.0,19.0,33,1141,159,13.0,32.0,45.0,0.0,358.0
1997.0,1691.0,1691,764.0,17.0,910.0,19.0,36,1340,69,21.0,179.0,27.0,2.0,307.0
1620.0,1555.0,1555,630.0,12.0,913.0,31.0,47,1260,74,31.0,97.0,15.0,0.0,145.0
1625.0,1542.0,1542,639.0,13.0,890.0,31.0,46,1248,67,31.0,0.0,15.0,0.0,158.0
2990.0,2871.0,2870,1255.0,124.0,1491.0,42.0,26,2239,143,51.0,340.0,29.0,4.0,125.0
2598.0,2301.0,2300,896.0,92.0,1312.0,58.0,16,1633,414,29.0,123.0,27.0,1.0,399.0
2592.0,1970.0,1970,783.0,25.0,1162.0,19.0,39,1556,276,21.0,43.0,16.0,0.0,730.0
1126.0,1001.0,1001,477.0,17.0,507.0,10.0,17,790,68,16.0,99.0,1.0,0.0,199.0
2880.0,2561.0,2561,1123.0,6.0,1432.0,26.0,52,2015,282,27.0,149.0,10.0,0.0,439.0
2755.0,2464.0,2452,1156.0,3.0,1293.0,25.0,49,1962,98,23.0,227.0,68.0,3.0,533.0
1810.0,1619.0,1614,725.0,0.0,889.0,15.0,35,1276,181,12.0,80.0,15.0,1.0,380.0
2155.0,1963.0,1955,883.0,31.0,1041.0,14.0,14,1563,233,13.0,104.0,14.0,0.0,337.0
2623.0,2531.0,2531,994.0,14.0,1523.0,21.0,36,1957,354,17.0,139.0,7.0,0.0,169.0
1950.0,1911.0,1911,586.0,10.0,1315.0,38.0,133,1438,192,19.0,82.0,9.0,7.0,32.0
1496.0,1311.0,1311,470.0,12.0,829.0,19.0,10,809,382,18.0,57.0,16.0,2.0,222.0
1885.0,1661.0,1661,212.0,205.0,1244.0,38.0,21,594,865,32.0,100.0,11.0,2.0,107.0
2066.0,1788.0,1788,251.0,43.0,1494.0,35.0,16,899,717,29.0,84.0,8.0,2.0,120.0
1027.0,1009.0,1009,239.0,149.0,621.0,23.0,10,442,421,20.0,69.0,24.0,0.0,61.0
2097.0,2032.0,2032,871.0,106.0,1055.0,5.0,4,1896,114,6.0,5.0,2.0,0.0,95.0
1176.0,1083.0,1083,470.0,17.0,596.0,12.0,9,647,366,9.0,37.0,3.0,0.0,147.0
2580.0,2471.0,2470,873.0,18.0,1579.0,46.0,22,1351,905,34.0,91.0,21.0,1.0,214.0
1564.0,1494.0,1492,524.0,43.0,925.0,19.0,13,933,439,26.0,48.0,14.0,2.0,115.0
2269.0,2087.0,2087,701.0,220.0,1166.0,53.0,23,1523,287,31.0,102.0,68.0,0.0,238.0
2824.0,2340.0,2340,433.0,552.0,1355.0,52.0,33,1500,654,50.0,43.0,8.0,1.0,568.0
693.0,517.0,517,123.0,69.0,325.0,8.0,7,240,222,15.0,21.0,4.0,1.0,196.0
976.0,938.0,938,314.0,89.0,535.0,18.0,19,503,342,13.0,34.0,9.0,0.0,20.0
1921.0,1789.0,1789,576.0,47.0,1166.0,5.0,12,1578,170,3.0,15.0,6.0,0.0,211.0
1110.0,1040.0,1039,373.0,21.0,645.0,15.0,23,798,125,14.0,58.0,6.0,0.0,110.0
580.0,501.0,501,111.0,276.0,114.0,6.0,13,317,129,4.0,28.0,4.0,0.0,94.0
1726.0,1213.0,1213,192.0,24.0,997.0,8.0,10,464,634,5.0,69.0,23.0,1.0,546.0
1397.0,1289.0,1289,743.0,108.0,438.0,6.0,5,1150,66,6.0,42.0,14.0,0.0,181.0
1889.0,1258.0,1255,324.0,9.0,925.0,28.0,12,364,672,48.0,129.0,2.0,1.0,741.0
1780.0,1303.0,1300,620.0,70.0,610.0,9.0,21,1105,131,12.0,21.0,1.0,0.0,567.0
1889.0,1258.0,1255,324.0,9.0,925.0,28.0,12,364,672,48.0,129.0,2.0,1.0,741.0
2105.0,1580.0,1578,679.0,43.0,856.0,30.0,44,1114,145,35.0,183.0,27.0,1.0,619.0
2656.0,2201.0,2201,1217.0,14.0,970.0,4.0,2,1670,497,4.0,21.0,3.0,1.0,598.0
559.0,461.0,459,104.0,165.0,192.0,9.0,8,383,41,5.0,11.0,4.0,2.0,122.0
2071.0,1774.0,1774,676.0,24.0,1074.0,50.0,23,908,562,50.0,172.0,9.0,0.0,371.0
1949.0,1507.0,1507,483.0,62.0,962.0,14.0,12,1351,108,11.0,8.0,3.0,0.0,458.0
2073.0,1725.0,1723,394.0,222.0,1107.0,24.0,17,1083,520,24.0,51.0,4.0,1.0,459.0
2148.0,1922.0,1922,882.0,34.0,1006.0,45.0,20,1080,523,35.0,205.0,14.0,1.0,87.0
1834.0,1752.0,1751,771.0,59.0,921.0,21.0,11,1342,195,27.0,142.0,13.0,0.0,98.0
2015.0,1833.0,1833,679.0,30.0,1124.0,27.0,22,1127,509,33.0,92.0,23.0,0.0,171.0
1645.0,1459.0,1459,650.0,81.0,728.0,8.0,20,1226,85,15.0,101.0,4.0,1.0,265.0
1751.0,1488.0,1488,637.0,41.0,810.0,25.0,22,1249,135,14.0,30.0,12.0,1.0,348.0
1473.0,1340.0,1340,603.0,154.0,583.0,5.0,23,1192,35,11.0,47.0,27.0,0.0,205.0
2402.0,2041.0,2040,998.0,143.0,900.0,48.0,23,1734,185,16.0,17.0,18.0,1.0,289.0
1416.0,1306.0,1306,431.0,143.0,732.0,23.0,8,754,402,39.0,71.0,9.0,0.0,134.0
2965.0,2919.0,2919,1361.0,37.0,1521.0,70.0,41,1439,1027,79.0,240.0,23.0,1.0,37.0
2799.0,2276.0,2272,1324.0,40.0,908.0,28.0,68,1862,131,23.0,129.0,31.0,1.0,673.0
1932.0,1618.0,1615,984.0,85.0,546.0,13.0,121,1221,139,11.0,101.0,9.0,2.0,480.0
2339.0,1991.0,1988,1252.0,128.0,608.0,13.0,64,1374,223,19.0,288.0,7.0,2.0,407.0
2669.0,2221.0,2219,1419.0,90.0,710.0,52.0,104,1748,136,19.0,144.0,16.0,11.0,568.0
2459.0,2073.0,2068,1301.0,18.0,749.0,19.0,67,1653,169,18.0,130.0,12.0,2.0,478.0
2455.0,2041.0,2037,247.0,107.0,1683.0,25.0,49,1650,138,20.0,151.0,4.0,3.0,520.0
2256.0,1468.0,1468,494.0,13.0,961.0,43.0,22,640,620,38.0,92.0,13.0,0.0,897.0
2210.0,1803.0,1799,1126.0,12.0,661.0,20.0,52,1420,140,25.0,82.0,60.0,1.0,483.0
962.0,785.0,783,479.0,31.0,273.0,11.0,23,601,77,10.0,35.0,26.0,3.0,212.0
2972.0,2424.0,2421,1501.0,4.0,916.0,24.0,89,1851,224,43.0,161.0,29.0,3.0,694.0
2962.0,3416.0,2411,1425.0,96.0,890.0,36.0,60,1878,216,32.0,109.0,80.0,4.0,690.0
2643.0,2156.0,2152,1322.0,86.0,744.0,39.0,73,1661,174,36.0,128.0,41.0,0.0,619.0
1875.0,1529.0,1525,943.0,2.0,580.0,13.0,44,1186,140,21.0,99.0,22.0,1.0,438.0
190.0,187.0,187,130.0,10.0,47.0,1.0,1,173,7,1.0,3.0,1.0,0.0,12.0
1462.0,1422.0,1422,765.0,63.0,594.0,9.0,7,853,476,3.0,65.0,9.0,2.0,116.0
2180.0,1984.0,1984,1144.0,20.0,820.0,42.0,74,1361,359,62.0,72.0,14.0,0.0,326.0
1048.0,711.0,711,161.0,10.0,540.0,23.0,5,227,389,12.0,52.0,6.0,0.0,309.0
1720.0,1440.0,1440,352.0,127.0,961.0,11.0,12,983,421,8.0,0.0,5.0,1.0,359.0
2707.0,2523.0,2523,571.0,6.0,1946.0,40.0,24,1837,428,20.0,160.0,14.0,1.0,336.0
2550.0,2238.0,2238,434.0,5.0,1799.0,61.0,24,558,1446,58.0,72.0,19.0,2.0,420.0
1660.0,1447.0,1447,516.0,7.0,924.0,28.0,11,974,361,15.0,55.0,3.0,0.0,293.0
2435.0,2271.0,2271,463.0,12.0,1796.0,46.0,24,527,1428,51.0,172.0,23.0,1.0,278.0
2498.0,2373.0,2373,1167.0,19.0,1187.0,9.0,3,1583,597,22.0,133.0,25.0,1.0,136.0
2680.0,2555.0,2427,790.0,27.0,1610.0,26.0,25,1974,225,11.0,120.0,46.0,0.0,253.0
1885.0,1775.0,1774,765.0,6.0,1003.0,35.0,37,1162,427,39.0,42.0,32.0,1.0,194.0
1642.0,1605.0,1605,146.0,13.0,1446.0,29.0,39,955,534,18.0,23.0,7.0,1.0,94.0
2995.0,2846.0,2846,1794.0,1.0,1051.0,8.0,10,2533,251,9.0,32.0,3.0,2.0,292.0
1944.0,1848.0,1846,697.0,23.0,1128.0,11.0,20,1184,573,14.0,29.0,17.0,2.0,91.0
1389.0,1267.0,1267,338.0,47.0,882.0,38.0,5,613,477,32.0,93.0,9.0,2.0,231.0
1575.0,1458.0,1458,616.0,48.0,794.0,15.0,16,1002,316,25.0,80.0,4.0,1.0,191.0
1100.0,1088.0,1088,428.0,34.0,626.0,17.0,15,701,192,17.0,132.0,14.0,3.0,9.0
1867.0,1451.0,1451,449.0,9.0,993.0,15.0,38,713,620,11.0,38.0,13.0,3.0,411.0
1794.0,1668.0,1668,511.0,39.0,1118.0,5.0,3,997,640,8.0,7.0,8.0,4.0,128.0
2093.0,2014.0,2014,813.0,36.0,1165.0,19.0,15,1119,808,18.0,24.0,11.0,1.0,85.0
2089.0,2009.0,2009,823.0,40.0,1146.0,40.0,24,1175,591,36.0,131.0,12.0,3.0,88.0
2191.0,1932.0,1932,856.0,35.0,1041.0,29.0,15,1215,554,25.0,69.0,25.0,4.0,264.0
2598.0,2361.0,2361,1047.0,1.0,1313.0,51.0,23,1530,609,38.0,108.0,2.0,0.0,239.0
2549.0,2382.0,2382,1038.0,4.0,1340.0,33.0,23,1483,661,34.0,129.0,19.0,3.0,215.0
1591.0,1379.0,1379,611.0,16.0,752.0,27.0,22,848,256,12.0,185.0,29.0,2.0,219.0
2191.0,1938.0,1938,708.0,10.0,1220.0,48.0,37,1167,391,24.0,251.0,20.0,1.0,261.0
1993.0,1798.0,1791,643.0,22.0,1126.0,30.0,18,907,709,25.0,89.0,13.0,1.0,201.0
1588.0,1237.0,1237,612.0,19.0,606.0,17.0,51,839,186,37.0,84.0,23.0,0.0,363.0
1889.0,1674.0,1674,772.0,33.0,869.0,19.0,67,1158,261,74.0,78.0,17.0,1.0,225.0
1784.0,1552.0,1552,706.0,51.0,795.0,85.0,29,1039,264,39.0,83.0,13.0,0.0,248.0
1891.0,1410.0,1410,384.0,9.0,1017.0,35.0,18,405,819,19.0,108.0,4.0,2.0,488.0
1195.0,1115.0,1115,395.0,43.0,677.0,4.0,13,588,432,7.0,64.0,7.0,1.0,85.0
1482.0,1200.0,1200,408.0,0.0,792.0,14.0,13,307,709,20.0,126.0,11.0,0.0,300.0
2197.0,2097.0,2097,787.0,44.0,1266.0,31.0,10,1220,772,21.0,21.0,22.0,4.0,99.0
1387.0,1383.0,1383,264.0,93.0,1026.0,32.0,17,411,844,22.0,49.0,12.0,2.0,15.0
2040.0,1852.0,1852,712.0,126.0,1014.0,4.0,12,1660,156,3.0,13.0,4.0,0.0,222.0
1998.0,1905.0,1906,762.0,13.0,1131.0,5.0,27,1694,118,2.0,36.0,26.0,1.0,172.0
2846.0,2440.0,2440,672.0,8.0,1768.0,28.0,34,1408,792,42.0,117.0,19.0,2.0,458.0
2860.0,2092.0,2092,522.0,7.0,1563.0,49.0,25,772,1052,48.0,132.0,14.0,0.0,808.0
2762.0,1996.0,1996,364.0,14.0,1618.0,42.0,20,543,1211,42.0,86.0,0.0,1.0,803.0
2467.0,1839.0,1839,731.0,21.0,1087.0,44.0,19,674,752,37.0,144.0,169.0,1.0,660.0
1319.0,1046.0,1040,409.0,22.0,615.0,21.0,12,499,428,17.0,55.0,8.0,0.0,304.0
1484.0,1300.0,1300,464.0,49.0,787.0,13.0,4,675,558,7.0,41.0,2.0,0.0,250.0
1292.0,1033.0,1033,375.0,22.0,636.0,10.0,4,521,433,10.0,49.0,6.0,1.0,316.0
1024.0,852.0,852,246.0,65.0,541.0,24.0,15,347,358,23.0,77.0,8.0,0.0,198.0
808.0,712.0,712,267.0,89.0,356.0,3.0,6,441,216,8.0,34.0,4.0,0.0,138.0
1860.0,1757.0,1757,714.0,30.0,1013.0,8.0,12,1470,232,6.0,18.0,11.0,0.0,363.0
1749.0,1203.0,1203,288.0,3.0,912.0,2.0,48,745,339,4.0,60.0,5.0,0.0,662.0
1202.0,934.0,934,283.0,26.0,625.0,26.0,13,636,190,19.0,39.0,11.0,0.0,324.0
2187.0,1526.0,1526,419.0,48.0,1059.0,25.0,52,1034,291,54.0,65.0,5.0,1.0,601.0
1870.0,1389.0,1389,477.0,12.0,900.0,4.0,13,837,517,7.0,9.0,2.0,0.0,485.0
1971.0,1894.0,1893,740.0,7.0,1146.0,51.0,25,770,871,40.0,120.0,16.0,0.0,156.0
1845.0,1509.0,1509,491.0,55.0,963.0,18.0,17,707,664,22.0,66.0,15.0,0.0,411.0
1353.0,1311.0,1311,541.0,10.0,760.0,19.0,8,731,479,20.0,47.0,7.0,1.0,88.0
1950.0,1950.0,1950,940.0,15.0,995.0,54.0,43,1301,365,60.0,97.0,30.0,2.0,8.0
2042.0,1878.0,1877,790.0,6.0,1081.0,28.0,14,1170,471,41.0,128.0,25.0,1.0,241.0
2511.0,1833.0,1833,1444.0,25.0,364.0,62.0,114,1320,204,96.0,35.0,2.0,0.0,787.0
2002.0,1696.0,1696,506.0,92.0,1098.0,16.0,11,1234,287,25.0,107.0,16.0,1.0,393.0
2376.0,2036.0,2036,555.0,97.0,1384.0,43.0,22,1150,692,32.0,81.0,16.0,2.0,442.0
574.0,396.0,396,118.0,70.0,208.0,8.0,10,273,46,11.0,46.0,2.0,0.0,204.0
825.0,613.0,613,313.0,112.0,188.0,9.0,31,484,66,14.0,2.0,7.0,1.0,246.0
2524.0,1817.0,1817,368.0,22.0,1427.0,82.0,39,1072,398,27.0,199.0,0.0,0.0,818.0
861.0,826.0,826,252.0,43.0,531.0,31.0,11,581,152,15.0,23.0,13.0,0.0,79.0
1857.0,1348.0,1348,324.0,48.0,976.0,26.0,14,606,583,37.0,69.0,13.0,1.0,545.0
1981.0,1750.0,1750,596.0,118.0,1036.0,22.0,19,1225,379,33.0,64.0,8.0,2.0,246.0
1340.0,1076.0,1076,200.0,340.0,536.0,15.0,40,476,472,8.0,53.0,12.0,0.0,243.0
2304.0,1934.0,1934,793.0,27.0,1114.0,33.0,12,1404,359,16.0,95.0,15.0,0.0,396.0
533.0,389.0,389,70.0,132.0,187.0,16.0,8,235,87,2.0,38.0,3.0,0.0,171.0
2185.0,2136.0,2136,973.0,16.0,1147.0,69.0,13,1003,906,18.0,122.0,5.0,2.0,142.0
2178.0,1593.0,1593,422.0,20.0,1151.0,88.0,18,914,431,32.0,94.0,16.0,1.0,676.0
1452.0,1155.0,1155,583.0,22.0,550.0,8.0,14,864,78,72.0,101.0,18.0,0.0,380.0
2549.0,1942.0,1942,470.0,16.0,1456.0,22.0,32,1597,101,35.0,140.0,15.0,2.0,742.0
1530.0,1238.0,1231,597.0,58.0,583.0,20.0,5,743,404,20.0,35.0,4.0,0.0,277.0
2831.0,2383.0,2383,831.0,46.0,1506.0,52.0,24,1583,595,40.0,71.0,18.0,0.0,485.0
2229.0,1989.0,1989,891.0,21.0,1077.0,25.0,25,1261,502,29.0,134.0,13.0,1.0,350.0
2627.0,2180.0,2180,998.0,21.0,1182.0,26.0,38,1656,218,83.0,112.0,47.0,0.0,578.0
2478.0,1890.0,1890,602.0,70.0,1218.0,20.0,18,1323,455,20.0,40.0,14.0,3.0,693.0
1560.0,1050.0,1050,206.0,26.0,818.0,4.0,5,471,507,1.0,62.0,0.0,0.0,529.0
1116.0,1047.0,1047,321.0,62.0,664.0,5.0,7,811,196,13.0,8.0,7.0,2.0,117.0
1357.0,1022.0,1022,495.0,2.0,525.0,3.0,5,625,376,4.0,6.0,3.0,3.0,385.0
1596.0,1516.0,1516,532.0,317.0,667.0,18.0,26,1092,353,6.0,4.0,3.0,2.0,162.0
1274.0,1034.0,1030,523.0,48.0,459.0,17.0,23,768,90,27.0,79.0,26.0,0.0,304.0
2485.0,2120.0,2120,994.0,73.0,1053.0,33.0,12,1714,174,42.0,127.0,12.0,2.0,483.0
1408.0,1383.0,1383,256.0,311.0,816.0,51.0,41,714,457,53.0,46.0,21.0,0.0,97.0
1420.0,1018.0,1018,278.0,15.0,725.0,21.0,18,257,521,11.0,176.0,14.0,1.0,481.0
2712.0,2306.0,2306,1330.0,31.0,945.0,22.0,46,1757,163,45.0,205.0,68.0,1.0,583.0
2744.0,2419.0,2419,1168.0,35.0,1216.0,38.0,38,1878,220,43.0,168.0,34.0,1.0,440.0
2550.0,2271.0,2271,1252.0,32.0,987.0,56.0,27,1728,184,20.0,224.0,32.0,0.0,399.0
2836.0,2452.0,2452,1188.0,63.0,1201.0,47.0,52,1905,191,32.0,218.0,7.0,2.0,494.0
2482.0,2099.0,2099,1012.0,16.0,1071.0,8.0,70,1586,215,9.0,143.0,68.0,1.0,482.0
1778.0,1555.0,1555,903.0,56.0,596.0,24.0,14,1251,121,24.0,73.0,48.0,1.0,294.0
995.0,925.0,925,386.0,112.0,427.0,24.0,24,345,427,23.0,73.0,9.0,0.0,100.0
445.0,396.0,396,108.0,191.0,97.0,4.0,6,279,80,9.0,15.0,3.0,0.0,9.0
1570.0,1221.0,1221,252.0,12.0,957.0,27.0,9,343,731,29.0,66.0,16.0,3.0,356.0
2138.0,2037.0,2037,722.0,9.0,1307.0,52.0,18,908,889,30.0,126.0,14.0,1.0,109.0
2214.0,2147.0,2147,837.0,43.0,1267.0,19.0,9,1578,248,19.0,259.0,15.0,1.0,66.0
1756.0,1594.0,1594,493.0,30.0,1073.0,27.0,12,829,562,37.0,116.0,11.0,2.0,248.0
1209.0,1004.0,1004,436.0,40.0,528.0,23.0,11,512,352,8.0,85.0,13.0,0.0,215.0
1806.0,1458.0,1458,556.0,27.0,875.0,29.0,17,671,648,18.0,70.0,5.0,1.0,413.0
2225.0,1521.0,1520,357.0,2.0,1161.0,20.0,10,649,713,12.0,87.0,29.0,1.0,779.0
2389.0,1550.0,1538,300.0,10.0,1240.0,28.0,17,291,1048,33.0,121.0,12.0,0.0,933.0
1818.0,1460.0,1460,409.0,2.0,1049.0,28.0,14,580,687,23.0,120.0,8.0,0.0,477.0
1325.0,1132.0,1132,391.0,115.0,626.0,27.0,14,698,356,8.0,20.0,9.0,0.0,260.0
2144.0,1437.0,1437,198.0,14.0,1225.0,31.0,11,613,688,9.0,69.0,16.0,4.0,734.0
1974.0,1428.0,1428,189.0,5.0,1234.0,22.0,14,567,705,4.0,106.0,10.0,0.0,645.0
1821.0,1089.0,1263,168.0,6.0,1089.0,17.0,10,178,947,10.0,96.0,5.0,3.0,646.0
1821.0,1279.0,1279,133.0,8.0,1138.0,13.0,14,183,960,15.0,80.0,14.0,2.0,561.0
2980.0,1493.0,1569,143.0,8.0,1418.0,22.0,8,419,1024,20.0,76.0,30.0,0.0,3.0
1818.0,1239.0,1239,240.0,13.0,986.0,23.0,13,270,837,16.0,68.0,12.0,0.0,648.0
1830.0,1231.0,1231,161.0,3.0,1067.0,18.0,14,235,860,18.0,82.0,4.0,2.0,603.0
2125.0,1410.0,1409,206.0,1.0,1202.0,21.0,18,242,985,21.0,100.0,22.0,5.0,790.0
2375.0,1741.0,1737,295.0,11.0,1431.0,27.0,14,279,1274,22.0,107.0,14.0,4.0,754.0
2375.0,1741.0,1737,295.0,11.0,1431.0,27.0,14,279,1274,22.0,107.0,14.0,4.0,754.0
3062.0,2609.0,2607,123.0,2.0,2482.0,12.0,5,132,2341,19.0,81.0,15.0,2.0,500.0
2032.0,1457.0,1455,102.0,1.0,1352.0,16.0,8,83,1248,15.0,75.0,10.0,2.0,853.0
1609.0,1386.0,1386,344.0,469.0,573.0,18.0,32,987,256,20.0,47.0,26.0,0.0,248.0
2242.0,1784.0,1784,297.0,203.0,1284.0,18.0,11,956,700,16.0,78.0,5.0,0.0,458.0
2411.0,1523.0,1523,136.0,28.0,1359.0,12.0,12,153,1266,10.0,62.0,8.0,1.0,962.0
855.0,798.0,798,303.0,20.0,475.0,10.0,10,396,353,3.0,23.0,3.0,3.0,78.0
2616.0,2005.0,2005,438.0,11.0,1556.0,28.0,69,1037,701,24.0,123.0,23.0,0.0,729.0
1935.0,1351.0,1351,197.0,26.0,1128.0,6.0,4,729,581,7.0,24.0,0.0,2.0,659.0
1855.0,1410.0,1404,486.0,24.0,894.0,24.0,23,497,719,24.0,106.0,11.0,3.0,536.0
1981.0,1574.0,1574,532.0,22.0,1020.0,31.0,26,1070,361,10.0,66.0,10.0,3.0,479.0
2312.0,2412.0,1655,127.0,15.0,1513.0,24.0,20,277,1230,10.0,78.0,16.0,2.0,771.0
1060.0,679.0,679,79.0,11.0,589.0,10.0,11,135,470,7.0,40.0,6.0,2.0,414.0
847.0,594.0,594,145.0,95.0,354.0,7.0,62,427,137,11.0,14.0,7.0,0.0,265.0
2405.0,1673.0,1671,270.0,51.0,1350.0,29.0,20,619,898,19.0,58.0,28.0,2.0,751.0
1720.0,1373.0,1370,531.0,43.0,796.0,64.0,100,933,187,9.0,40.0,37.0,3.0,430.0
1780.0,1422.0,1418,489.0,23.0,906.0,17.0,98,942,307,11.0,27.0,16.0,4.0,443.0
1420.0,1260.0,1260,461.0,0.0,799.0,8.0,5,895,328,9.0,8.0,7.0,2.0,229.0
1994.0,1305.0,1305,201.0,14.0,1090.0,26.0,25,322,794,16.0,109.0,13.0,2.0,787.0
1329.0,1169.0,1166,361.0,41.0,764.0,14.0,27,758,337,12.0,14.0,4.0,3.0,224.0
2360.0,2248.0,2243,600.0,53.0,1590.0,4.0,10,1597,614,5.0,9.0,4.0,5.0,252.0
2209.0,1734.0,1733,551.0,11.0,1171.0,24.0,24,711,834,34.0,88.0,9.0,1.0,594.0
2268.0,1901.0,1901,249.0,428.0,1224.0,29.0,35,1041,718,15.0,59.0,4.0,1.0,482.0
1552.0,1094.0,1094,174.0,188.0,732.0,27.0,14,578,418,13.0,39.0,5.0,3.0,636.0
2564.0,1902.0,1900,659.0,24.0,1217.0,64.0,44,511,1128,28.0,70.0,53.0,2.0,786.0
2498.0,1856.0,1849,595.0,18.0,1236.0,88.0,28,1412,263,30.0,22.0,6.0,8.0,759.0
1650.0,1352.0,1352,316.0,13.0,1023.0,25.0,16,530,691,12.0,71.0,7.0,4.0,343.0
2327.0,1838.0,1837,465.0,16.0,1356.0,42.0,26,553,1052,27.0,123.0,14.0,1.0,609.0
2194.0,1604.0,1604,321.0,4.0,1279.0,22.0,13,405,1051,16.0,76.0,15.0,6.0,694.0
1518.0,1073.0,1073,144.0,87.0,842.0,26.0,18,272,673,11.0,60.0,13.0,2.0,519.0
1093.0,923.0,918,458.0,54.0,406.0,12.0,15,780,21,14.0,64.0,12.0,6.0,271.0
2205.0,1920.0,1920,944.0,24.0,952.0,13.0,15,1635,76,20.0,102.0,59.0,1.0,379.0
1435.0,1234.0,1234,617.0,34.0,583.0,6.0,9,1051,49,17.0,74.0,28.0,3.0,263.0
2639.0,2246.0,2237,1147.0,27.0,1063.0,19.0,47,1879,74,16.0,178.0,24.0,2.0,422.0
2676.0,2279.0,2266,1171.0,21.0,1074.0,18.0,61,1887,71,13.0,188.0,28.0,4.0,870.0
2289.0,1927.0,1920,985.0,43.0,892.0,16.0,36,1625,87,12.0,123.0,21.0,0.0,443.0
2579.0,2169.0,2164,1098.0,13.0,1053.0,12.0,42,1836,107,15.0,134.0,18.0,1.0,500.0
2798.0,2263.0,2232,1165.0,291.0,776.0,18.0,28,1835,70,16.0,223.0,42.0,5.0,622.0
