age,income
53,137157
37,44694
36,101078
58,119820
44,89987
48,60164
55,78961
37,84759
44,90354
24,107933
38,48872
50,49395
47,146766
20,138057
43,22039
63,73897
41,52567
59,25361
29,78654
54,88275
65,99264
60,93774
23,26953
30,121295
29,43739
40,61670
59,26465
31,29527
33,22784
60,26750
31,136739
65,35834
52,108036
53,94500
36,34816
43,37614
23,61722
45,66444
63,117937
43,52713
36,75617
18,88615
31,105873
40,93042
56,40089
40,135456
58,137982
37,103905
38,91107
44,140932
53,96283
55,17837
25,53389
54,134881
48,126192
61,32673
36,20605
33,132343
27,121546
40,81129
53,61563
52,81509
33,60212
42,114410
57,41640
39,54592
24,141027
39,60612
57,109017
35,95071
43,111149
62,136320
19,146145
19,56663
29,100230
59,26655
48,130534
38,134557
45,115079
34,85251
39,115743
27,71638
19,74919
35,47614
34,43433
45,123555
20,91460
50,23546
24,88804
31,142228
52,72726
21,62734
26,25650
60,56829
27,41478
19,15250
21,31322
63,105239
64,31676
32,62719
42,28969
59,38685
20,75202
26,122201
40,136688
24,124340
39,66962
38,34500
29,68890
20,32779
29,62003
56,23635
46,46260
45,24927
32,30511
63,102753
22,119075
28,115850
25,128064
38,146950
65,135039
56,33614
24,48070
19,81456
26,140096
33,129627
47,31548
37,89152
45,34669
48,112802
65,134060
62,20007
22,70276
19,138135
60,65360
57,105476
52,116122
32,130528
60,105641
47,138530
43,18305
49,85449
64,39955
47,64309
61,109658
43,133537
43,22034
40,118312
43,126418
30,95226
40,96817
65,119832
64,23458
48,103503
50,108514
43,129547
57,149895
19,92813
29,116624
39,96153
18,53609
57,104601
35,34512
45,43397
63,148465
59,79998
38,39068
43,48433
31,131469
39,81368
23,147522
23,125681
56,148669
49,83963
58,99965
21,29222
36,55886
55,113106
39,33548
65,76078
51,24201
44,149717
61,53062
59,46241
62,120668
55,146083
65,112715
36,59661
28,117128
38,65409
65,32356
56,98858
42,54630
34,72869
41,76446
65,124283
18,54173
25,86636
39,137772
27,84730
49,17892
47,106553
40,44556
54,57253
27,34794
30,52545
39,44461
47,76534
34,122221
31,143289
20,28126
45,135054
46,102565
40,144653
54,137840
52,71459
25,107676
25,72304
20,97367
37,15952
64,99521
31,41401
34,85939
49,87047
50,29000
39,103188
22,27075
40,58915
35,135409
32,82355
33,133143
25,149680
26,54496
34,70940
39,69142
65,144121
23,145545
46,27496
20,129762
45,36541
62,139907
58,89768
44,61269
55,123254
56,19267
33,124675
30,37313
38,90543
20,71472
57,18571
33,127746
58,55127
59,71430
39,134141
53,141803
54,57039
34,23561
57,146843
44,119979
21,68254
43,79470
65,42419
58,59842
57,100829
32,32233
22,107215
54,46864
27,19316
35,98352
50,132085
36,57233
45,36889
18,52361
31,127607
18,39179
62,32549
60,113350
41,138298
39,32363
40,41998
21,79718
39,40268
48,19116
35,131340
53,137203
41,47830
19,106797
35,46288
31,17425
29,130331
24,108553
62,136954
61,110075
37,16961
62,65998
65,133311
31,88703
29,49976
62,139621
32,128277
34,95676
34,33705
41,132262
35,74240
29,31715
57,82259
24,21753
18,106174
61,69141
21,82275
64,82542
22,113024
32,30295
47,78116
18,119219
37,117145
56,131906
20,137143
55,94837
23,118067
37,72013
34,124338
34,106027
53,38916
38,78873
40,40294
46,29979
35,144937
40,49611
43,50241
27,133503
37,67695
23,42700
60,121033
25,29976
21,139734
49,138972
42,53273
44,128400
33,101951
54,59065
33,59110
28,109006
60,36688
55,122450
21,129865
59,49787
43,135549
45,109143
41,94343
32,54659
58,47232
40,78946
45,19020
51,68257
53,76757
54,107203
21,129972
58,33692
25,27672
20,126992
23,69326
31,132062
50,103129
33,108426
48,46087
48,39850
60,39972
40,102221
23,22853
46,110846
49,114113
26,145031
35,140141
35,148874
30,21962
28,113711
49,30608
48,78400
55,134338
46,50040
45,119724
27,85362
35,103736
28,127852
40,131802
60,119614
45,104464
53,44841
21,46390
55,76211
19,105369
39,125884
23,21475
24,83968
33,113441
54,35352
56,141152
36,34571
47,49231
33,96912
34,123476
37,88050
54,132087
21,54264
26,15170
58,80044
41,97009
29,33611
23,91471
26,105899
57,123322
18,146252
25,30748
23,25945
19,81004
46,21876
19,124725
34,117203
54,95087
60,82412
30,24466
49,55604
61,86822
65,79538
27,47601
23,145206
32,39640
25,69855
50,104435
30,48104
59,106135
52,129915
55,24666
22,108875
51,20678
49,75837
27,69797
36,15517
23,55766
51,149846
47,22775
32,92506
34,28700
38,37055
46,59191
31,41305
35,101339
43,93539
23,19305
39,64301
26,86452
48,42860
55,46659
22,114874
47,146588
18,44436
32,144399
25,132370
28,107364
61,145863
26,91724
56,19528
50,29531
19,116199
53,54259
29,62383
57,145996
23,123252
59,42757
43,122467
53,92601
56,129475
48,17921
29,79476
28,144512
31,130587
22,128738
41,21556
36,96346
41,103997
21,55127
57,143813
19,51244
63,117865
48,54847
24,70016
57,29286
33,124484
20,49827
58,148685
35,129455
45,72938
20,135393
41,42353
35,43133
26,66733
41,109925
23,32558
44,20476
39,111043
31,79479
47,94731
35,74178
37,142400
31,52588
48,71634
47,20550
61,56702
36,76839
46,39739
30,135532
33,75081
50,75302
46,92435
51,26132
33,68279
64,116023
19,94060
29,99216
39,135242
36,50882
34,129476
29,60437
29,46738
41,113734
36,27435
49,125396
22,142498
34,102560
37,89056
46,29966
24,98258
40,79308
58,107133
39,141347
43,122806
18,102009
60,48773
36,28816
31,114485
49,118149
32,79227
30,52515
65,27288
35,105171
29,113830
21,66445
60,51561
50,67929
34,94289
19,69804
36,127598
42,115277
37,47363
20,126356
52,131997
56,133472
36,92692
41,113515
38,123934
46,18469
59,49595
25,130114
49,130228
51,16238
54,47688
62,59341
33,100740
43,22653
33,86207
59,103292
64,17990
38,20915
25,106322
47,92388
65,22701
34,96283
28,95259
28,123903
18,147386
25,48792
31,23501
23,18939
28,26438
34,141989
40,142165
61,73284
36,110037
33,17389
51,21958
64,99383
40,51506
37,118280
61,78331
49,132994
56,68506
42,104855
55,78901
24,140378
44,65667
29,40208
32,84365
57,95614
32,146894
39,37105
42,19828
31,98888
41,68017
22,48138
38,138784
58,49684
40,97141
40,143552
28,79984
54,63655
21,109717
51,137694
61,98256
40,96975
45,145179
52,126109
19,24550
55,15158
54,48886
52,115480
32,104826
37,117227
43,139548
24,18199
18,147876
45,16583
22,54327
31,109423
64,90800
41,110828
63,118728
18,31448
36,56103
23,123688
47,49911
18,106998
61,29616
40,70549
64,82986
26,84594
55,86782
19,125833
44,34414
51,27380
35,83072
30,60018
28,17453
62,121666
49,77823
61,137778
30,142148
24,27316
38,60517
54,118076
31,133234
25,123532
60,53298
22,57141
61,109351
30,26412
59,61128
29,40096
57,143547
65,124637
33,38098
60,148145
18,73104
50,89363
29,71056
24,80713
61,37701
20,142626
26,128856
55,108485
59,127930
58,102476
29,145628
43,90229
43,20117
24,26663
40,131524
35,48262
33,116604
19,112399
59,36328
59,44273
23,41788
44,137799
50,29427
25,145935
49,140728
21,68535
19,79529
65,131020
22,34168
59,23887
32,123076
43,124791
40,132998
44,134994
30,103253
25,94917
21,40391
33,52653
58,120587
31,132794
28,120410
54,56316
27,114506
29,76646
18,54610
62,106886
63,146995
43,38846
42,138179
50,32353
35,109471
41,61919
44,18468
61,94583
52,35131
36,88060
40,145196
32,80065
38,80289
18,126401
31,56221
32,22077
59,101577
53,144099
35,113082
25,144966
43,110523
29,89441
19,24645
21,145057
63,25641
51,69601
26,80766
28,147336
41,62517
62,37929
39,127381
24,126900
48,136389
21,78388
30,113404
30,113138
48,73728
25,83227
25,127625
32,71601
19,130565
18,15943
61,143810
59,96978
27,30406
21,59108
33,135962
39,54907
54,63787
60,84320
20,136261
62,144734
59,74043
61,99961
44,104492
41,138818
55,55862
53,128431
26,54914
36,123703
19,118876
30,33064
20,98219
21,64696
43,85032
18,111265
24,42716
56,24218
39,32941
56,141918
27,32811
51,20509
62,81154
50,41424
60,67874
24,98251
40,22556
24,121927
41,33357
27,131792
38,32575
62,47288
24,122823
60,31877
39,22189
49,45588
27,119467
23,61372
42,25615
60,88766
37,96123
29,24390
50,126350
61,104500
59,106627
64,80459
20,124988
32,149329
57,125624
60,27311
64,134512
20,18771
43,109393
61,132167
24,132245
53,141529
33,126373
19,59276
27,142092
28,86094
44,137196
19,100595
31,15405
41,48112
18,129965
46,21712
28,18242
53,83049
65,51912
24,125684
54,123777
40,130133
18,57459
23,83231
50,57953
35,45306
64,106493
41,90601
62,66034
65,23996
56,128696
41,49839
31,122730
23,78013
18,116068
62,70920
62,51521
34,51644
23,29738
64,123770
60,63281
60,83615
65,85592
43,135700
50,51214
36,57284
28,49062
59,26641
50,38486
41,24247
35,84762
18,119744
24,110768
42,51255
42,41655
41,92401
55,63885
31,40157
45,139024
20,94810
31,32976
30,134513
42,143115
51,133664
42,87720
34,72190
53,117753
38,44689
61,141171
20,87361
22,121490
37,133926
42,31485
52,110358
58,71240
26,31479
20,60474
19,79036
50,117628
32,63379
43,24991
29,33369
45,17800
30,59272
55,145129
44,58821
50,49003
63,40974
19,113948
26,27748
65,120683
53,132003
30,123801
55,142512
26,66077
45,29482
55,98619
19,78868
54,99633
53,78733
20,24423
46,23463
36,56503
43,75303
40,71962
53,33769
45,85777
34,95882
27,126526
55,149519
55,133127
63,84640
29,110927
38,64322
60,100894
36,128073
52,43542
33,52886
30,89787
48,125138
19,111597
49,118391
40,30898
41,112293
36,147271
52,125872
26,42763
32,26457
28,131752
26,118544
42,99046
32,70905
33,97065
64,76333
20,134267
49,123769
54,109431
28,84947
38,64064
60,126907
48,130355
22,19096
23,40985
26,31630
45,84873
24,107288
35,78270
40,83901
43,49483
28,32485
53,45193
41,129945
39,28137
38,70793
48,140001
44,88127
21,136470
18,21303
53,136146
61,37562
58,38532
43,67886
62,28343
39,132697
46,138863
34,134158
52,117006
29,111386
30,91315
21,99308
37,92712
32,32780
23,77362
58,19411
47,70426
64,22462
22,81487
53,69150
41,49678
37,84867
39,38317
19,51110
49,96447
23,124922
57,107579
65,129737
21,108256
54,37553
26,55283
27,134710
62,68890
24,99529
50,118687
30,132625
37,112659
37,138299
41,16845
54,99765
57,122527
18,34878
51,93478
60,137841
24,81067
40,90352
29,80160
45,59074
34,35794
31,79723
61,132233
30,146267
35,86029
26,142376
44,107567
64,113611
44,42899
30,60760
64,41656
24,124514
22,59638
42,99285
40,68190
56,105202
34,83607
61,52035
40,17315
50,100768
53,101526
33,84176
62,107364
55,60519
20,94343
53,97876
64,114050
64,102601
35,146820
34,55022
36,104251
64,23959
18,61728
54,38044
29,85987
63,55353
34,103722
31,58295
48,138180
56,124618
64,146707
61,15610
23,28303
60,54014
65,107173
18,79045
57,47003
58,23722
41,43559
33,36202
53,131563
50,19744
39,120551
24,20454
35,31698
61,110287
49,89837
44,25981
19,56723
29,68615
52,22308
31,113374
30,138226
48,77665
55,125576
24,27696
49,81497
60,63154
50,82131
43,142313
40,137355
37,39128
31,15850
52,21444
55,88966
49,114665
38,46400
38,72522
26,24525
52,25404
42,29803
26,71357
25,73761
55,100285
20,114742
62,25626
48,103013
59,123783
52,102443
52,68759
43,130282
24,35518
40,90890
62,131805
45,41651
24,100933
20,92371
50,107288
65,84368
22,26099
49,48621
64,120125
32,114494
58,39345
29,27233
59,36680
50,137259
63,55371
44,66070
50,17924
29,92763
31,46184
51,93916
64,123571
37,64101
57,134709
36,43506
48,27716
49,73148
59,32765
21,62439
62,139507
28,20110
23,75120
45,56599
35,99554
27,143037
28,149533
47,139453
30,137104
21,21616
35,78305
35,75837
40,116674
23,36939
61,45389
58,53732
29,21767
19,23242
63,63235
22,82339
63,116522
45,26385
46,109804
51,104561
36,85251
41,133727
50,119774
29,32974
40,53956
37,95651
21,113553
20,138148
52,109098
20,59046
53,86637
33,140912
39,78880
25,130787
63,78073
35,144018
44,100839
37,59167
48,123865
35,115570
35,98876
61,91505
39,23644
61,58758
55,18368
48,21402
40,58695
48,76137
34,144511
60,80256
38,30238
41,78266
41,98841
41,55498
29,129732
64,35195
22,22426
50,67181
54,51862
58,70464
48,125535
21,51204
52,73213
50,142814
35,116182
24,33183
41,104237
27,77706
49,57455
44,86955
29,91351
51,137156
20,112214
23,47174
31,75507
27,102027
65,62612
49,122396
35,78016
44,77893
48,130322
49,106602
42,120715
57,125437
34,34358
49,41858
34,146747
49,97158
24,45055
46,37986
51,47159
28,19102
53,138314
21,68832
55,41195
32,34428
59,47349
21,101684
62,115438
36,104734
56,61673
59,71891
34,28737
27,136269
26,130901
24,75656
23,15513
52,65356
35,122861
52,61293
25,60264
51,141494
18,87724
47,99018
50,92006
22,85522
53,93954
64,27977
40,126247
57,34513
63,147297
30,104368
63,142136
60,67369
31,23371
57,42954
24,133523
44,26423
22,25734
64,17021
62,144002
36,93192
48,31533
46,140306
26,141921
24,37450
48,134102
60,95656
41,46694
44,68534
22,146505
23,47342
23,61715
42,72225
34,37071
43,122725
47,106478
64,105463
25,69142
45,101526
31,53016
35,125089
54,65194
27,25032
31,24000
48,97969
51,104053
56,88908
22,51788
35,27512
32,58651
65,145565
25,127669
22,46742
63,40217
19,44763
19,136280
52,19815
59,111230
43,49056
55,71675
48,149106
31,51348
47,99660
27,90560
18,40351
39,118295
28,113750
20,131302
44,97294
47,80413
28,118850
26,130543
33,51162
20,28722
19,62806
54,100443
59,78079
25,139369
36,110729
32,64560
51,142142
61,51221
24,28304
31,77479
33,135803
26,94489
65,124075
36,99347
54,31671
22,84150
58,98877
43,69542
37,31553
64,18588
31,128122
65,123441
36,124539
34,91808
47,103594
52,126986
64,97990
23,75507
33,59264
40,140263
19,22769
26,138229
58,84134
51,144646
38,110813
19,91143
44,126654
29,59527
37,29012
50,48260
48,149732
51,51285
37,128746
64,98630
59,116321
19,26772
43,141935
50,61949
34,46704
38,111606
51,57582
57,102297
28,122476
56,136355
24,143679
53,149597
63,106234
30,77367
57,93062
32,138367
40,64592
32,126301
30,62228
63,96541
61,19182
28,96745
43,114664
34,19795
65,39011
47,44331
29,94764
59,32813
49,20034
52,108888
64,81072
54,69886
44,143249
43,59549
21,110794
63,74134
45,33494
33,57793
41,137576
23,96197
62,100478
46,21549
40,19775
25,132777
47,24211
37,44782
64,120035
47,110846
57,114754
50,93469
59,15332
26,122669
22,98837
25,135659
31,64215
48,37919
38,121212
65,134383
34,87756
63,30169
21,29370
64,110605
29,46521
46,105518
24,118811
20,30704
24,123820
45,84343
65,133135
41,79915
46,29691
50,19250
46,78014
65,19880
47,138568
58,103959
54,98908
22,18608
31,30901
34,16349
53,47545
54,93468
18,81540
34,32892
32,90223
49,18933
33,37967
30,36210
24,83404
54,73870
57,62566
37,87183
46,149165
64,135586
55,113933
59,129311
52,142590
53,68736
60,93283
21,58843
46,148146
47,72159
31,90980
55,79953
49,142638
35,57647
52,137396
50,44227
20,149399
60,135517
25,15484
57,99201
46,139469
29,135375
47,36375
59,141777
27,100020
61,149887
20,138342
33,27923
49,104674
62,25762
45,70658
52,104690
31,48323
50,111675
46,123957
19,46272
58,110202
25,90405
28,126911
52,94718
42,20900
34,42643
59,83705
35,118562
41,63297
31,105680
45,139352
53,82841
34,46457
22,53096
45,91013
45,36577
48,84981
23,113805
25,104947
31,126405
56,30671
40,44038
46,24208
47,124826
53,139257
38,21957
49,54149
19,120237
44,54611
46,97373
18,131760
26,66399
19,78006
59,138297
58,30803
34,124534
41,81362
20,31426
47,30858
41,34262
21,114218
34,19910
53,45486
50,78758
21,17331
54,33076
26,143756
50,46876
27,144100
51,90985
56,57070
57,66969
56,93931
44,90186
62,116004
44,53330
27,53525
58,125524
29,120329
29,52520
63,130379
54,43197
18,140939
59,106155
44,134560
47,125122
39,140837
21,32976
58,50986
26,57126
50,48976
31,101436
31,52415
54,84929
49,19316
31,44310
41,80445
30,89602
48,133209
62,26093
58,125161
48,130107
47,64748
21,66053
30,117191
65,37434
55,121244
41,104850
33,112547
30,142943
36,100464
47,70455
50,138171
50,79298
51,149727
38,46380
64,115061
44,107472
26,138959
31,149790
55,82739
53,140144
62,138509
28,17382
37,67689
64,32576
54,35364
43,119659
55,136865
26,40091
43,107372
44,91578
50,24864
63,20298
22,41613
38,93945
57,149522
36,107480
20,26505
47,89896
32,76106
58,91977
62,42029
64,65626
65,105826
25,63240
18,54280
38,98570
60,114378
59,75554
26,33209
60,129312
36,126476
44,57108
49,79387
25,93345
31,105827
22,97209
48,120371
36,132718
59,40540
48,127334
23,87497
26,58634
37,139644
40,120706
50,102340
65,111380
58,127986
40,41402
31,131406
61,55637
23,57979
32,80043
41,37320
35,46986
60,149025
46,146866
62,132165
59,86422
20,123438
42,48157
35,43574
42,42215
24,148542
26,63892
41,141758
29,122590
35,132057
22,71149
51,112320
56,25556
46,63909
55,124342
55,44817
19,124915
45,137222
25,111436
24,128923
57,93344
21,85263
52,58089
39,85457
29,58377
23,45821
43,46476
28,47091
59,142602
63,111720
54,125759
38,26871
37,121691
23,38701
47,123070
25,83959
32,21553
54,135194
36,63609
33,63414
53,127861
31,118620
26,42914
40,71325
23,48013
61,123636
60,22791
42,68847
35,107563
62,93346
20,73447
30,75656
55,115831
28,91040
56,110657
64,62376
20,86854
53,138060
25,93452
46,125673
56,103029
62,103107
62,114920
51,95564
42,89293
65,43875
31,81097
37,133918
42,83599
27,133571
54,98285
22,149282
34,19042
19,49514
41,82807
28,142245
36,48591
27,110978
62,133145
48,137115
44,50256
58,121808
24,30808
59,94470
19,93760
24,103867
54,74498
59,35597
54,96273
40,25095
18,67053
41,85792
18,65102
36,27560
34,26811
22,129872
29,137768
34,58750
53,58415
31,149486
42,132612
44,41170
40,27718
59,85285
19,54914
30,35336
24,34471
38,115750
21,125808
44,78185
24,70401
52,145048
49,107072
59,18520
26,125092
47,38273
42,20328
52,127281
33,118678
56,16623
49,15624
18,93399
53,149206
55,52003
49,118624
42,75927
32,64637
50,18021
28,66554
63,68122
65,60247
19,62493
30,37293
31,127365
31,110991
20,146265
40,86922
52,109974
42,40808
41,74896
57,55755
47,102279
28,76203
57,18117
35,99013
34,91834
60,81042
63,125016
37,60997
65,67931
33,125208
50,48425
22,129381
26,98205
45,138110
53,129596
55,71692
57,107963
24,98862
59,72030
59,37194
64,67411
59,63930
39,142651
32,130409
29,23325
33,51553
21,54936
62,128179
64,127673
56,21391
20,63497
19,84869
24,44144
26,108301
34,50690
62,35583
61,66241
37,70052
56,44579
51,83926
25,90223
40,74536
44,130841
48,35100
53,141158
40,132690
24,57725
20,53555
55,31152
28,29191
59,18491
30,17459
36,58477
28,89920
31,115968
27,131926
44,91040
34,20156
58,138126
21,124279
49,119553
45,120174
63,51164
33,140776
49,135803
60,90015
62,93776
37,85827
51,35166
57,77009
45,92121
61,21016
36,138945
44,94536
36,88352
22,96859
51,53389
48,84344
42,101324
47,39566
18,20282
40,73959
47,136287
55,107766
51,36782
63,86376
62,78531
48,117428
52,85919
24,115107
62,64684
37,74807
36,65127
61,73376
46,103486
52,108300
31,137934
25,130845
64,123060
51,35039
26,30901
62,76009
18,73881
52,25517
50,76347
45,66451
35,58756
40,33304
59,72414
45,95365
61,126311
