elevation,type
892.0,fake
9843.0,fake
375.0,fake
2334.0,fake
6.0,fake
12.0,fake
2464.0,fake
1958.0,fake
12.0,fake
476.0,fake
33.0,fake
1549.0,fake
4780.0,fake
654.0,fake
2.0,fake
3850.0,fake
266.0,fake
1646.0,fake
34.0,fake
4450.0,fake
916.0,fake
1181.0,fake
3331.0,fake
1165.0,fake
304.0,fake
20.0,fake
385.0,fake
300.0,fake
68.0,fake
14.0,fake
83.0,fake
87.0,fake
188.0,fake
1322.0,fake
2328.0,fake
2157.0,fake
1054.0,fake
8306.0,fake
1461.0,fake
1591.0,fake
194.0,fake
11.0,fake
3327.0,fake
1276.0,fake
1095.0,fake
3665.0,fake
427.0,fake
12.0,fake
1415.0,fake
6725.0,fake
10.0,fake
774.0,fake
352.0,fake
1713.0,fake
5072.0,fake
3282.0,fake
454.0,fake
194.0,fake
6446.0,fake
870.0,fake
814.0,fake
7.0,fake
300.0,fake
1905.0,fake
22.0,fake
25.0,fake
1168.0,fake
18.0,fake
2261.0,fake
485.0,fake
1538.0,fake
1195.0,fake
56.0,fake
45.0,fake
66.0,fake
0.0,fake
808.0,fake
3292.0,fake
1450.0,fake
30.0,fake
591.0,fake
930.0,fake
3543.0,fake
1890.0,fake
411.0,fake
39.0,fake
48.0,fake
684.0,fake
4181.0,fake
175.0,fake
54.0,fake
190.0,fake
24.0,fake
25.0,fake
26.0,fake
632.0,fake
1475.0,fake
1934.0,fake
25.0,fake
3.0,fake
3.0,fake
54.0,fake
574.0,fake
1797.0,fake
4163.0,fake
794.0,fake
46.0,fake
97.0,fake
3294.0,fake
1165.0,fake
4636.0,fake
1136.0,fake
1400.0,fake
13.0,fake
253.0,fake
174.0,fake
10.0,fake
95.0,fake
377.0,fake
2117.0,fake
164.0,fake
6890.0,fake
574.0,fake
5460.0,fake
50.0,fake
1473.0,fake
1462.0,fake
115.0,fake
1140.0,fake
70.0,fake
146.0,fake
325.0,fake
3600.0,fake
1503.0,fake
8980.0,fake
23.0,fake
709.0,fake
3146.0,fake
145.0,fake
103.0,fake
47.0,fake
65.0,fake
10.0,fake
12.0,fake
2021.0,fake
12.0,fake
1526.0,fake
82.0,fake
4858.0,fake
7.0,fake
1674.0,fake
165.0,fake
28.0,fake
25.0,fake
151.0,fake
968.0,fake
49.0,fake
449.0,fake
205.0,fake
1390.0,fake
510.0,fake
3002.0,fake
1392.0,fake
6180.0,fake
2600.0,fake
2756.0,fake
1631.0,fake
115.0,fake
121.0,fake
7.0,fake
540.0,fake
1831.0,fake
5.0,fake
2436.0,fake
6234.0,fake
27.0,fake
392.0,fake
464.0,fake
5028.0,fake
668.0,fake
4560.0,fake
587.0,fake
53.0,fake
446.0,fake
100.0,fake
128.0,fake
640.0,fake
532.0,fake
3931.0,fake
479.0,fake
342.0,fake
19.0,fake
54.0,fake
751.0,fake
8.0,fake
207.0,fake
98.0,fake
131.0,fake
9.0,fake
659.0,fake
59.0,fake
2437.0,fake
45.0,fake
21.0,fake
60.0,fake
27.0,fake
87.0,fake
73.0,fake
966.0,fake
155.0,fake
33.0,fake
538.0,fake
210.0,fake
1700.0,fake
1291.0,fake
219.0,fake
444.0,fake
1278.0,fake
4252.0,fake
107.0,fake
722.0,fake
4853.0,fake
1844.0,fake
1388.0,fake
942.0,fake
4778.0,fake
139.0,fake
272.0,fake
2621.0,fake
1394.0,fake
10.0,fake
354.0,fake
68.0,fake
586.0,fake
2742.0,fake
732.0,fake
445.0,fake
3376.0,fake
177.0,fake
2205.0,fake
3963.0,fake
2302.0,fake
2166.0,fake
107.0,fake
54.0,fake
16.0,fake
879.0,fake
6180.0,fake
60.0,fake
820.0,fake
348.0,fake
869.0,fake
1245.0,fake
95.0,fake
3661.0,fake
55.0,fake
1697.0,fake
881.0,fake
1588.0,fake
626.0,fake
146.0,fake
6446.0,fake
1800.0,fake
825.0,fake
17.0,fake
228.0,fake
42.0,fake
3162.0,fake
526.0,fake
1620.0,fake
308.0,fake
139.0,fake
417.0,fake
92.0,fake
6120.0,fake
1346.0,fake
1087.0,fake
3357.0,fake
1750.0,fake
82.0,fake
1265.0,fake
550.0,fake
4068.0,fake
20.0,fake
1398.0,fake
27.0,fake
1850.0,fake
1641.0,fake
761.0,fake
294.0,fake
490.0,fake
167.0,fake
1367.0,fake
59.0,fake
4429.0,fake
4400.0,fake
39.0,fake
98.0,fake
981.0,fake
18.0,fake
26.0,fake
5550.0,fake
67.0,fake
4167.0,fake
8.0,fake
12.0,fake
32.0,fake
2776.0,fake
4157.0,fake
2133.0,fake
235.0,fake
729.0,fake
39.0,fake
32.0,fake
46.0,fake
126.0,fake
162.0,fake
210.0,fake
2561.0,fake
1025.0,fake
7989.0,fake
6102.0,fake
659.0,fake
413.0,fake
194.0,fake
626.0,fake
2690.0,fake
7050.0,fake
6931.0,fake
40.0,fake
1629.0,fake
464.0,fake
410.0,fake
2241.0,fake
10.0,fake
630.0,fake
557.0,fake
46.0,fake
208.0,fake
15.0,fake
1620.0,fake
534.0,fake
14.0,fake
370.0,fake
46.0,fake
2743.0,fake
1406.0,fake
81.0,fake
735.0,fake
2691.0,fake
31.0,fake
23.0,fake
886.0,fake
3.0,fake
94.0,fake
49.0,fake
569.0,fake
155.0,fake
138.0,fake
1204.0,fake
1171.0,fake
52.0,fake
94.0,fake
3639.0,fake
1617.0,fake
117.0,fake
752.0,fake
19.0,fake
10.0,fake
463.0,fake
1375.0,fake
6752.0,fake
15.0,fake
1204.0,fake
623.0,fake
16.0,fake
5.0,fake
34.0,fake
0.0,fake
4560.0,fake
800.0,fake
118.0,fake
250.0,fake
5800.0,fake
2171.0,fake
4726.0,fake
4853.0,fake
1180.0,fake
1024.0,fake
1808.0,fake
4715.0,fake
397.0,fake
2437.0,fake
698.0,fake
210.0,fake
92.0,fake
417.0,fake
105.0,fake
53.0,fake
2008.0,fake
834.0,fake
977.0,fake
935.0,fake
835.0,fake
668.0,fake
302.0,fake
57.0,fake
1930.0,fake
84.0,fake
574.0,fake
1200.0,fake
97.0,fake
31.0,fake
4260.0,fake
1290.0,fake
0.0,fake
38.0,fake
-128.0,fake
937.0,fake
177.0,fake
4105.0,fake
1280.0,fake
47.0,fake
430.0,fake
2234.0,fake
320.0,fake
1065.0,fake
59.0,fake
31.0,fake
825.0,fake
294.0,fake
8.0,fake
2346.0,fake
928.0,fake
722.0,fake
23.0,fake
900.0,fake
12.0,fake
5462.0,fake
27.0,fake
20.0,fake
6.0,fake
29.0,fake
3783.0,fake
414.0,fake
13.0,fake
95.0,fake
912.0,fake
1870.0,fake
1496.0,fake
157.0,fake
130.0,fake
896.0,fake
987.0,fake
4850.0,fake
559.0,fake
1161.0,fake
490.0,fake
201.0,fake
4859.0,fake
1437.0,fake
5082.0,fake
3465.0,fake
26.0,fake
58.0,fake
4541.0,fake
544.0,fake
610.0,fake
177.0,fake
240.0,fake
29.0,fake
573.0,fake
1378.0,fake
285.0,fake
87.0,fake
3379.0,fake
9334.0,fake
101.0,fake
5020.0,fake
3050.0,fake
23.0,fake
3127.0,fake
1026.0,fake
360.0,fake
6201.0,fake
580.0,fake
2459.0,fake
9.0,fake
2945.0,fake
25.0,fake
199.0,fake
90.0,fake
2803.0,fake
68.0,fake
146.0,fake
50.0,fake
352.0,fake
173.0,fake
79.0,fake
20.0,fake
5330.0,fake
1808.0,fake
42.0,fake
812.0,fake
984.0,fake
230.0,fake
3763.0,fake
1476.0,fake
2595.0,fake
105.0,fake
817.0,fake
2717.0,fake
79.0,fake
5.0,fake
9500.0,fake
154.0,fake
49.0,fake
3543.0,fake
3.0,fake
27.0,fake
1124.0,fake
1801.0,fake
732.0,fake
40.0,fake
2885.0,fake
1344.0,fake
90.0,fake
160.0,fake
21.0,fake
135.0,fake
894.0,fake
26.0,fake
1555.0,fake
181.0,fake
6120.0,fake
244.0,fake
4659.0,fake
141.0,fake
89.0,fake
11300.0,fake
29.0,fake
387.0,fake
55.0,fake
68.0,fake
6104.0,fake
34.0,fake
50.0,fake
570.0,fake
894.0,fake
148.0,fake
12152.0,fake
4659.0,fake
1003.0,fake
194.0,fake
360.0,fake
11.0,fake
2708.0,fake
2313.0,fake
475.0,fake
24.0,fake
433.0,fake
65.0,fake
9.0,fake
1831.0,fake
1045.0,fake
153.0,fake
3333.0,fake
1664.0,fake
1549.0,fake
584.0,fake
30.0,fake
-42.0,fake
1503.0,fake
18.0,fake
443.0,fake
1302.0,fake
127.0,fake
2302.0,fake
141.0,fake
114.0,fake
2464.0,fake
101.0,fake
90.0,fake
59.0,fake
475.0,fake
32.0,fake
408.0,fake
5256.0,fake
167.0,fake
1640.0,fake
32.0,fake
20.0,fake
54.0,fake
