age,income,type
49,99589,fake
53,31692,fake
23,37653,fake
21,25219,fake
57,45630,fake
18,23465,fake
30,66625,fake
27,114772,fake
60,125313,fake
58,80027,fake
28,121933,fake
43,101480,fake
65,120568,fake
47,45452,fake
26,138465,fake
26,31917,fake
53,60260,fake
58,149156,fake
53,112896,fake
45,19972,fake
27,106134,fake
41,127479,fake
36,55065,fake
30,144010,fake
27,48856,fake
46,69553,fake
21,57904,fake
52,47960,fake
41,149025,fake
51,109408,fake
54,148112,fake
46,87009,fake
39,103572,fake
60,103410,fake
50,122650,fake
59,137251,fake
39,74583,fake
49,45632,fake
49,37025,fake
56,89500,fake
60,95976,fake
39,141823,fake
27,111617,fake
37,36233,fake
33,38651,fake
57,93286,fake
49,140235,fake
59,73383,fake
34,90135,fake
59,91132,fake
53,108267,fake
48,90773,fake
20,90468,fake
40,52153,fake
61,135231,fake
61,97902,fake
25,65791,fake
18,86370,fake
18,122219,fake
23,24917,fake
61,118468,fake
45,94438,fake
42,99386,fake
47,54242,fake
65,128115,fake
45,78472,fake
46,22260,fake
65,76835,fake
27,90847,fake
46,36128,fake
62,88971,fake
59,119364,fake
59,24396,fake
31,61201,fake
55,78749,fake
41,134774,fake
27,134533,fake
36,119936,fake
36,117269,fake
18,117098,fake
61,66230,fake
57,106414,fake
37,29058,fake
64,141962,fake
37,57527,fake
34,130768,fake
56,149991,fake
48,24709,fake
61,119355,fake
59,112181,fake
29,54691,fake
22,28927,fake
33,44432,fake
51,111478,fake
28,63309,fake
53,53041,fake
45,145738,fake
32,92316,fake
45,62681,fake
63,73592,fake
33,111697,fake
38,120151,fake
62,71774,fake
27,118703,fake
52,147150,fake
38,42223,fake
48,24420,fake
50,144784,fake
64,16074,fake
18,20457,fake
29,72802,fake
48,90600,fake
32,35224,fake
59,126683,fake
44,102435,fake
44,89768,fake
35,90642,fake
44,121638,fake
45,99508,fake
32,116527,fake
20,128395,fake
63,54103,fake
21,89602,fake
56,62124,fake
44,44069,fake
42,125193,fake
18,110255,fake
32,140317,fake
42,119002,fake
46,125885,fake
51,96956,fake
38,114834,fake
60,58333,fake
55,93200,fake
20,31102,fake
26,27593,fake
24,148382,fake
34,17297,fake
47,98573,fake
37,67064,fake
49,71176,fake
26,136553,fake
65,72872,fake
34,116679,fake
65,52403,fake
39,29240,fake
40,129282,fake
59,73952,fake
31,46782,fake
39,111489,fake
18,121753,fake
57,112958,fake
55,104641,fake
56,97369,fake
42,117525,fake
18,53158,fake
49,32840,fake
24,19810,fake
35,57703,fake
58,39744,fake
24,43472,fake
25,142918,fake
55,91373,fake
29,143495,fake
48,115358,fake
65,71109,fake
30,54575,fake
64,38936,fake
50,63899,fake
19,107948,fake
35,102969,fake
47,80929,fake
61,34021,fake
58,99380,fake
55,77745,fake
46,104524,fake
40,138624,fake
26,143237,fake
45,108938,fake
33,148684,fake
49,34270,fake
40,119817,fake
43,80314,fake
54,97147,fake
53,25377,fake
64,36879,fake
29,39007,fake
35,126859,fake
60,80855,fake
49,69974,fake
19,26018,fake
41,123795,fake
18,58260,fake
45,25873,fake
25,136461,fake
61,107291,fake
45,131158,fake
24,59793,fake
25,24186,fake
25,129283,fake
28,129163,fake
61,117599,fake
29,47616,fake
58,81772,fake
56,115605,fake
38,32829,fake
65,110622,fake
36,49200,fake
25,63710,fake
35,70190,fake
40,141214,fake
38,96337,fake
53,96374,fake
50,91725,fake
56,67282,fake
57,88499,fake
60,108868,fake
56,39146,fake
51,32862,fake
44,116774,fake
54,131949,fake
34,56784,fake
43,76858,fake
34,61718,fake
31,32341,fake
39,100797,fake
48,58676,fake
34,97293,fake
53,27822,fake
64,70114,fake
65,101048,fake
56,55637,fake
35,65623,fake
31,148360,fake
39,102706,fake
44,119085,fake
32,61741,fake
18,27232,fake
55,67922,fake
60,129756,fake
35,61180,fake
18,76403,fake
40,65163,fake
40,49254,fake
25,131458,fake
45,109435,fake
25,18828,fake
56,43752,fake
53,104349,fake
37,55484,fake
54,108013,fake
39,142182,fake
23,133090,fake
64,97558,fake
58,76329,fake
24,65574,fake
60,101063,fake
43,149653,fake
48,121789,fake
41,100922,fake
65,49173,fake
37,61404,fake
53,43761,fake
63,144322,fake
49,147426,fake
56,53405,fake
30,80880,fake
63,93315,fake
29,65471,fake
61,61924,fake
19,147932,fake
64,82129,fake
22,145657,fake
44,69800,fake
23,126770,fake
57,128689,fake
43,26625,fake
54,39795,fake
64,126001,fake
50,114118,fake
23,85566,fake
39,48592,fake
63,96020,fake
58,130454,fake
26,38215,fake
35,143304,fake
20,85570,fake
49,120493,fake
26,30731,fake
64,42507,fake
30,85969,fake
36,67061,fake
19,64642,fake
34,97509,fake
61,95183,fake
44,99797,fake
49,142082,fake
32,74654,fake
55,144107,fake
54,16624,fake
42,132438,fake
47,122702,fake
32,26793,fake
23,50489,fake
45,109356,fake
48,126102,fake
25,68406,fake
20,127464,fake
31,54165,fake
18,148421,fake
54,15648,fake
48,76858,fake
23,27083,fake
46,125525,fake
49,107374,fake
35,33409,fake
38,91173,fake
63,131322,fake
40,93392,fake
38,50623,fake
65,50620,fake
57,90331,fake
55,46921,fake
62,45364,fake
64,47198,fake
48,107287,fake
60,100504,fake
35,107523,fake
50,118634,fake
42,40133,fake
33,20867,fake
63,17715,fake
27,115458,fake
63,120760,fake
39,128340,fake
27,62845,fake
29,38623,fake
39,55384,fake
53,64063,fake
43,32599,fake
40,36946,fake
33,18272,fake
28,109762,fake
63,78022,fake
30,90064,fake
55,104480,fake
47,94989,fake
26,37522,fake
32,25484,fake
58,109236,fake
40,73657,fake
53,90798,fake
55,124567,fake
25,89961,fake
38,114772,fake
57,111009,fake
36,128728,fake
21,100476,fake
65,111669,fake
42,142823,fake
21,129651,fake
61,123481,fake
21,46470,fake
21,50356,fake
26,23471,fake
23,43840,fake
40,92395,fake
41,30187,fake
55,100161,fake
41,65590,fake
65,135239,fake
60,100488,fake
24,112615,fake
22,15866,fake
33,67705,fake
27,49083,fake
22,124832,fake
52,62722,fake
32,17203,fake
53,63058,fake
53,120599,fake
20,106563,fake
59,43252,fake
26,43461,fake
33,54168,fake
46,126958,fake
21,42746,fake
25,145220,fake
19,59645,fake
40,38702,fake
61,23535,fake
39,23988,fake
49,94215,fake
33,44182,fake
47,89540,fake
27,87724,fake
18,50268,fake
52,44348,fake
21,127642,fake
33,54323,fake
37,106646,fake
36,104837,fake
25,105098,fake
33,23832,fake
52,74752,fake
30,78680,fake
19,26032,fake
34,135948,fake
34,46024,fake
52,104153,fake
61,100960,fake
35,72680,fake
53,87751,fake
64,59727,fake
34,74363,fake
45,76156,fake
40,45419,fake
28,100165,fake
44,103856,fake
37,26768,fake
53,65612,fake
35,96056,fake
21,123972,fake
64,48627,fake
35,130469,fake
48,74609,fake
65,60371,fake
54,51691,fake
26,88911,fake
18,137722,fake
45,127360,fake
21,95951,fake
24,39597,fake
21,45624,fake
26,132870,fake
36,140984,fake
19,49445,fake
43,74502,fake
49,105717,fake
33,102662,fake
61,24920,fake
47,114185,fake
24,112847,fake
29,86197,fake
59,85780,fake
23,31645,fake
36,137245,fake
37,117280,fake
56,132732,fake
33,29113,fake
55,31149,fake
40,37034,fake
51,114180,fake
59,96168,fake
43,77130,fake
34,35966,fake
50,16912,fake
48,141032,fake
43,146922,fake
42,142366,fake
20,31602,fake
37,37954,fake
59,69149,fake
36,63818,fake
30,51323,fake
25,126639,fake
18,16476,fake
39,132715,fake
21,37607,fake
22,57219,fake
18,122469,fake
40,123333,fake
61,53823,fake
30,96525,fake
43,23100,fake
42,107143,fake
26,128237,fake
37,36254,fake
43,72448,fake
32,96323,fake
35,124632,fake
46,143340,fake
32,19844,fake
61,37422,fake
18,123567,fake
29,17491,fake
29,46142,fake
30,48494,fake
25,140892,fake
37,88049,fake
32,138023,fake
41,114355,fake
40,102569,fake
61,110458,fake
46,33938,fake
33,44085,fake
58,43769,fake
39,129026,fake
59,143947,fake
53,141159,fake
41,62618,fake
54,106810,fake
63,134291,fake
40,142709,fake
63,56570,fake
63,126976,fake
55,98722,fake
33,27307,fake
33,90956,fake
48,127715,fake
36,112812,fake
23,128358,fake
47,22829,fake
21,60429,fake
30,15571,fake
36,38689,fake
37,128393,fake
21,146934,fake
31,77605,fake
33,123829,fake
28,129137,fake
49,82769,fake
31,74273,fake
61,127504,fake
39,48951,fake
26,97842,fake
39,146472,fake
56,27225,fake
52,44110,fake
21,125569,fake
43,113214,fake
20,81470,fake
52,55073,fake
53,95080,fake
48,141412,fake
41,117754,fake
30,69889,fake
58,124041,fake
62,58718,fake
43,149427,fake
60,51429,fake
39,96943,fake
56,91491,fake
32,35201,fake
38,78712,fake
39,119640,fake
53,36580,fake
28,18286,fake
24,50433,fake
50,18057,fake
34,145523,fake
42,145116,fake
45,85405,fake
43,58536,fake
33,97683,fake
22,39122,fake
54,40474,fake
57,52184,fake
56,99320,fake
65,43211,fake
65,15007,fake
39,72102,fake
33,26219,fake
51,115105,fake
48,144032,fake
59,72810,fake
57,134247,fake
49,75008,fake
56,80785,fake
23,43091,fake
48,109059,fake
19,120741,fake
38,68930,fake
25,134908,fake
46,42333,fake
47,115789,fake
33,144174,fake
38,59296,fake
36,127329,fake
19,16747,fake
61,30403,fake
53,92942,fake
51,149694,fake
44,62818,fake
38,121809,fake
37,142001,fake
44,16732,fake
60,27953,fake
42,68070,fake
44,58976,fake
59,64957,fake
32,22919,fake
24,24061,fake
55,86546,fake
55,73153,fake
64,89311,fake
20,15533,fake
45,38434,fake
28,86193,fake
37,140974,fake
43,54055,fake
64,56334,fake
18,74759,fake
43,97756,fake
19,89498,fake
30,144387,fake
61,73055,fake
19,36009,fake
57,76503,fake
59,119121,fake
55,137975,fake
27,87204,fake
21,97428,fake
30,45530,fake
40,134145,fake
54,53857,fake
24,119818,fake
19,54028,fake
55,129386,fake
53,92692,fake
49,145100,fake
38,55196,fake
26,75980,fake
57,51989,fake
28,57500,fake
54,86217,fake
31,122533,fake
55,108136,fake
62,96094,fake
44,20846,fake
58,34450,fake
55,88838,fake
45,95608,fake
29,113811,fake
55,142850,fake
55,67435,fake
42,142716,fake
44,29044,fake
22,72913,fake
33,23176,fake
22,53853,fake
33,136829,fake
65,92367,fake
52,51196,fake
23,16864,fake
24,34525,fake
25,21122,fake
42,131549,fake
40,15964,fake
36,84065,fake
23,131441,fake
47,130859,fake
41,31183,fake
42,107206,fake
23,85000,fake
62,61555,fake
24,87724,fake
28,103510,fake
58,128287,fake
18,132726,fake
61,20838,fake
65,36050,fake
26,120723,fake
65,74007,fake
47,131343,fake
45,16988,fake
35,127428,fake
41,97338,fake
25,137067,fake
34,86219,fake
45,116249,fake
45,143142,fake
19,37311,fake
47,104986,fake
26,46188,fake
53,68278,fake
53,137157,fake
37,44694,fake
36,101078,fake
58,119820,fake
44,89987,fake
48,60164,fake
55,78961,fake
37,84759,fake
44,90354,fake
24,107933,fake
38,48872,fake
50,49395,fake
47,146766,fake
20,138057,fake
43,22039,fake
63,73897,fake
41,52567,fake
59,25361,fake
29,78654,fake
54,88275,fake
65,99264,fake
60,93774,fake
23,26953,fake
30,121295,fake
29,43739,fake
40,61670,fake
59,26465,fake
31,29527,fake
33,22784,fake
60,26750,fake
31,136739,fake
65,35834,fake
52,108036,fake
53,94500,fake
36,34816,fake
43,37614,fake
23,61722,fake
45,66444,fake
63,117937,fake
43,52713,fake
36,75617,fake
18,88615,fake
31,105873,fake
40,93042,fake
56,40089,fake
40,135456,fake
58,137982,fake
37,103905,fake
38,91107,fake
44,140932,fake
53,96283,fake
55,17837,fake
25,53389,fake
54,134881,fake
48,126192,fake
61,32673,fake
36,20605,fake
33,132343,fake
27,121546,fake
40,81129,fake
53,61563,fake
52,81509,fake
33,60212,fake
42,114410,fake
57,41640,fake
39,54592,fake
24,141027,fake
39,60612,fake
57,109017,fake
35,95071,fake
43,111149,fake
62,136320,fake
19,146145,fake
19,56663,fake
29,100230,fake
59,26655,fake
48,130534,fake
38,134557,fake
45,115079,fake
34,85251,fake
39,115743,fake
27,71638,fake
19,74919,fake
35,47614,fake
34,43433,fake
45,123555,fake
20,91460,fake
50,23546,fake
24,88804,fake
31,142228,fake
52,72726,fake
21,62734,fake
26,25650,fake
60,56829,fake
27,41478,fake
19,15250,fake
21,31322,fake
63,105239,fake
64,31676,fake
32,62719,fake
42,28969,fake
59,38685,fake
20,75202,fake
26,122201,fake
40,136688,fake
24,124340,fake
39,66962,fake
38,34500,fake
29,68890,fake
20,32779,fake
29,62003,fake
56,23635,fake
46,46260,fake
45,24927,fake
32,30511,fake
63,102753,fake
22,119075,fake
28,115850,fake
25,128064,fake
38,146950,fake
65,135039,fake
56,33614,fake
24,48070,fake
19,81456,fake
26,140096,fake
33,129627,fake
47,31548,fake
37,89152,fake
45,34669,fake
48,112802,fake
65,134060,fake
62,20007,fake
22,70276,fake
19,138135,fake
60,65360,fake
57,105476,fake
52,116122,fake
32,130528,fake
60,105641,fake
47,138530,fake
43,18305,fake
49,85449,fake
64,39955,fake
47,64309,fake
61,109658,fake
43,133537,fake
43,22034,fake
40,118312,fake
43,126418,fake
30,95226,fake
40,96817,fake
65,119832,fake
64,23458,fake
48,103503,fake
50,108514,fake
43,129547,fake
57,149895,fake
19,92813,fake
29,116624,fake
39,96153,fake
18,53609,fake
57,104601,fake
35,34512,fake
45,43397,fake
63,148465,fake
59,79998,fake
38,39068,fake
43,48433,fake
31,131469,fake
39,81368,fake
23,147522,fake
23,125681,fake
56,148669,fake
49,83963,fake
58,99965,fake
21,29222,fake
36,55886,fake
55,113106,fake
39,33548,fake
65,76078,fake
51,24201,fake
44,149717,fake
61,53062,fake
59,46241,fake
62,120668,fake
55,146083,fake
65,112715,fake
36,59661,fake
28,117128,fake
38,65409,fake
65,32356,fake
56,98858,fake
42,54630,fake
34,72869,fake
41,76446,fake
65,124283,fake
18,54173,fake
25,86636,fake
39,137772,fake
27,84730,fake
49,17892,fake
47,106553,fake
40,44556,fake
54,57253,fake
27,34794,fake
30,52545,fake
39,44461,fake
47,76534,fake
34,122221,fake
31,143289,fake
20,28126,fake
45,135054,fake
46,102565,fake
40,144653,fake
54,137840,fake
52,71459,fake
25,107676,fake
25,72304,fake
20,97367,fake
37,15952,fake
64,99521,fake
31,41401,fake
34,85939,fake
49,87047,fake
50,29000,fake
39,103188,fake
22,27075,fake
40,58915,fake
35,135409,fake
32,82355,fake
33,133143,fake
25,149680,fake
26,54496,fake
34,70940,fake
39,69142,fake
65,144121,fake
23,145545,fake
46,27496,fake
20,129762,fake
45,36541,fake
62,139907,fake
58,89768,fake
44,61269,fake
55,123254,fake
56,19267,fake
33,124675,fake
30,37313,fake
38,90543,fake
20,71472,fake
57,18571,fake
33,127746,fake
58,55127,fake
59,71430,fake
39,134141,fake
53,141803,fake
54,57039,fake
34,23561,fake
57,146843,fake
44,119979,fake
21,68254,fake
43,79470,fake
65,42419,fake
58,59842,fake
57,100829,fake
32,32233,fake
22,107215,fake
54,46864,fake
27,19316,fake
35,98352,fake
50,132085,fake
36,57233,fake
45,36889,fake
18,52361,fake
31,127607,fake
18,39179,fake
62,32549,fake
60,113350,fake
41,138298,fake
39,32363,fake
40,41998,fake
21,79718,fake
39,40268,fake
48,19116,fake
35,131340,fake
53,137203,fake
41,47830,fake
19,106797,fake
35,46288,fake
31,17425,fake
29,130331,fake
24,108553,fake
62,136954,fake
61,110075,fake
37,16961,fake
62,65998,fake
65,133311,fake
31,88703,fake
29,49976,fake
62,139621,fake
32,128277,fake
34,95676,fake
34,33705,fake
41,132262,fake
35,74240,fake
29,31715,fake
57,82259,fake
24,21753,fake
18,106174,fake
61,69141,fake
21,82275,fake
64,82542,fake
22,113024,fake
32,30295,fake
47,78116,fake
18,119219,fake
37,117145,fake
56,131906,fake
20,137143,fake
55,94837,fake
23,118067,fake
37,72013,fake
34,124338,fake
34,106027,fake
53,38916,fake
38,78873,fake
40,40294,fake
46,29979,fake
35,144937,fake
40,49611,fake
43,50241,fake
27,133503,fake
37,67695,fake
23,42700,fake
60,121033,fake
25,29976,fake
21,139734,fake
49,138972,fake
42,53273,fake
44,128400,fake
33,101951,fake
54,59065,fake
33,59110,fake
28,109006,fake
60,36688,fake
55,122450,fake
21,129865,fake
59,49787,fake
43,135549,fake
45,109143,fake
41,94343,fake
32,54659,fake
58,47232,fake
40,78946,fake
45,19020,fake
51,68257,fake
53,76757,fake
54,107203,fake
21,129972,fake
58,33692,fake
25,27672,fake
20,126992,fake
23,69326,fake
31,132062,fake
50,103129,fake
33,108426,fake
48,46087,fake
48,39850,fake
60,39972,fake
40,102221,fake
23,22853,fake
46,110846,fake
49,114113,fake
26,145031,fake
35,140141,fake
35,148874,fake
30,21962,fake
28,113711,fake
49,30608,fake
48,78400,fake
55,134338,fake
46,50040,fake
45,119724,fake
27,85362,fake
35,103736,fake
28,127852,fake
40,131802,fake
60,119614,fake
45,104464,fake
53,44841,fake
21,46390,fake
55,76211,fake
19,105369,fake
39,125884,fake
23,21475,fake
24,83968,fake
33,113441,fake
54,35352,fake
56,141152,fake
36,34571,fake
47,49231,fake
33,96912,fake
34,123476,fake
37,88050,fake
54,132087,fake
21,54264,fake
26,15170,fake
58,80044,fake
41,97009,fake
29,33611,fake
23,91471,fake
26,105899,fake
57,123322,fake
18,146252,fake
25,30748,fake
23,25945,fake
19,81004,fake
46,21876,fake
19,124725,fake
34,117203,fake
54,95087,fake
60,82412,fake
30,24466,fake
49,55604,fake
61,86822,fake
65,79538,fake
27,47601,fake
23,145206,fake
32,39640,fake
25,69855,fake
50,104435,fake
30,48104,fake
59,106135,fake
52,129915,fake
55,24666,fake
22,108875,fake
51,20678,fake
49,75837,fake
27,69797,fake
36,15517,fake
23,55766,fake
51,149846,fake
47,22775,fake
32,92506,fake
34,28700,fake
38,37055,fake
46,59191,fake
31,41305,fake
35,101339,fake
43,93539,fake
23,19305,fake
39,64301,fake
26,86452,fake
48,42860,fake
55,46659,fake
22,114874,fake
47,146588,fake
18,44436,fake
32,144399,fake
25,132370,fake
28,107364,fake
61,145863,fake
26,91724,fake
56,19528,fake
50,29531,fake
19,116199,fake
53,54259,fake
29,62383,fake
57,145996,fake
23,123252,fake
59,42757,fake
43,122467,fake
53,92601,fake
56,129475,fake
48,17921,fake
29,79476,fake
28,144512,fake
31,130587,fake
22,128738,fake
41,21556,fake
36,96346,fake
41,103997,fake
21,55127,fake
57,143813,fake
19,51244,fake
63,117865,fake
48,54847,fake
24,70016,fake
57,29286,fake
33,124484,fake
20,49827,fake
58,148685,fake
35,129455,fake
45,72938,fake
20,135393,fake
41,42353,fake
35,43133,fake
26,66733,fake
41,109925,fake
23,32558,fake
44,20476,fake
39,111043,fake
31,79479,fake
47,94731,fake
35,74178,fake
37,142400,fake
31,52588,fake
48,71634,fake
47,20550,fake
61,56702,fake
36,76839,fake
46,39739,fake
30,135532,fake
33,75081,fake
50,75302,fake
46,92435,fake
51,26132,fake
33,68279,fake
64,116023,fake
19,94060,fake
29,99216,fake
39,135242,fake
36,50882,fake
34,129476,fake
29,60437,fake
29,46738,fake
41,113734,fake
36,27435,fake
49,125396,fake
22,142498,fake
34,102560,fake
37,89056,fake
46,29966,fake
24,98258,fake
40,79308,fake
58,107133,fake
39,141347,fake
43,122806,fake
18,102009,fake
60,48773,fake
36,28816,fake
31,114485,fake
49,118149,fake
32,79227,fake
30,52515,fake
65,27288,fake
35,105171,fake
29,113830,fake
21,66445,fake
60,51561,fake
50,67929,fake
34,94289,fake
19,69804,fake
36,127598,fake
42,115277,fake
37,47363,fake
20,126356,fake
52,131997,fake
56,133472,fake
36,92692,fake
41,113515,fake
38,123934,fake
46,18469,fake
59,49595,fake
25,130114,fake
49,130228,fake
51,16238,fake
54,47688,fake
62,59341,fake
33,100740,fake
43,22653,fake
33,86207,fake
59,103292,fake
64,17990,fake
38,20915,fake
25,106322,fake
47,92388,fake
65,22701,fake
34,96283,fake
28,95259,fake
28,123903,fake
18,147386,fake
25,48792,fake
31,23501,fake
23,18939,fake
28,26438,fake
34,141989,fake
40,142165,fake
61,73284,fake
36,110037,fake
33,17389,fake
51,21958,fake
64,99383,fake
40,51506,fake
37,118280,fake
61,78331,fake
49,132994,fake
56,68506,fake
42,104855,fake
55,78901,fake
24,140378,fake
44,65667,fake
29,40208,fake
32,84365,fake
57,95614,fake
32,146894,fake
39,37105,fake
42,19828,fake
31,98888,fake
41,68017,fake
22,48138,fake
38,138784,fake
58,49684,fake
40,97141,fake
40,143552,fake
28,79984,fake
54,63655,fake
21,109717,fake
51,137694,fake
61,98256,fake
40,96975,fake
45,145179,fake
52,126109,fake
19,24550,fake
55,15158,fake
54,48886,fake
52,115480,fake
32,104826,fake
37,117227,fake
43,139548,fake
24,18199,fake
18,147876,fake
45,16583,fake
22,54327,fake
31,109423,fake
64,90800,fake
41,110828,fake
63,118728,fake
18,31448,fake
36,56103,fake
23,123688,fake
47,49911,fake
18,106998,fake
61,29616,fake
40,70549,fake
64,82986,fake
26,84594,fake
55,86782,fake
19,125833,fake
44,34414,fake
51,27380,fake
35,83072,fake
30,60018,fake
28,17453,fake
62,121666,fake
49,77823,fake
61,137778,fake
30,142148,fake
24,27316,fake
38,60517,fake
54,118076,fake
31,133234,fake
25,123532,fake
60,53298,fake
22,57141,fake
61,109351,fake
30,26412,fake
59,61128,fake
29,40096,fake
57,143547,fake
65,124637,fake
33,38098,fake
60,148145,fake
18,73104,fake
50,89363,fake
29,71056,fake
24,80713,fake
61,37701,fake
20,142626,fake
26,128856,fake
55,108485,fake
59,127930,fake
58,102476,fake
29,145628,fake
43,90229,fake
43,20117,fake
24,26663,fake
40,131524,fake
35,48262,fake
33,116604,fake
19,112399,fake
59,36328,fake
59,44273,fake
23,41788,fake
44,137799,fake
50,29427,fake
25,145935,fake
49,140728,fake
21,68535,fake
19,79529,fake
65,131020,fake
22,34168,fake
59,23887,fake
32,123076,fake
43,124791,fake
40,132998,fake
44,134994,fake
30,103253,fake
25,94917,fake
21,40391,fake
33,52653,fake
58,120587,fake
31,132794,fake
28,120410,fake
54,56316,fake
27,114506,fake
29,76646,fake
18,54610,fake
62,106886,fake
63,146995,fake
43,38846,fake
42,138179,fake
50,32353,fake
35,109471,fake
41,61919,fake
44,18468,fake
61,94583,fake
52,35131,fake
36,88060,fake
40,145196,fake
32,80065,fake
38,80289,fake
18,126401,fake
31,56221,fake
32,22077,fake
59,101577,fake
53,144099,fake
35,113082,fake
25,144966,fake
43,110523,fake
29,89441,fake
19,24645,fake
21,145057,fake
63,25641,fake
51,69601,fake
26,80766,fake
28,147336,fake
41,62517,fake
62,37929,fake
39,127381,fake
24,126900,fake
48,136389,fake
21,78388,fake
30,113404,fake
30,113138,fake
48,73728,fake
25,83227,fake
25,127625,fake
32,71601,fake
19,130565,fake
18,15943,fake
61,143810,fake
59,96978,fake
27,30406,fake
21,59108,fake
33,135962,fake
39,54907,fake
54,63787,fake
60,84320,fake
20,136261,fake
62,144734,fake
59,74043,fake
61,99961,fake
44,104492,fake
41,138818,fake
55,55862,fake
53,128431,fake
26,54914,fake
36,123703,fake
19,118876,fake
30,33064,fake
20,98219,fake
21,64696,fake
43,85032,fake
18,111265,fake
24,42716,fake
56,24218,fake
39,32941,fake
56,141918,fake
27,32811,fake
51,20509,fake
62,81154,fake
50,41424,fake
60,67874,fake
24,98251,fake
40,22556,fake
24,121927,fake
41,33357,fake
27,131792,fake
38,32575,fake
62,47288,fake
24,122823,fake
60,31877,fake
39,22189,fake
49,45588,fake
27,119467,fake
23,61372,fake
42,25615,fake
60,88766,fake
37,96123,fake
29,24390,fake
50,126350,fake
61,104500,fake
59,106627,fake
64,80459,fake
20,124988,fake
32,149329,fake
57,125624,fake
60,27311,fake
64,134512,fake
20,18771,fake
43,109393,fake
61,132167,fake
24,132245,fake
53,141529,fake
33,126373,fake
19,59276,fake
27,142092,fake
28,86094,fake
44,137196,fake
19,100595,fake
31,15405,fake
41,48112,fake
18,129965,fake
46,21712,fake
28,18242,fake
53,83049,fake
65,51912,fake
24,125684,fake
54,123777,fake
40,130133,fake
18,57459,fake
23,83231,fake
50,57953,fake
35,45306,fake
64,106493,fake
41,90601,fake
62,66034,fake
65,23996,fake
56,128696,fake
41,49839,fake
31,122730,fake
23,78013,fake
18,116068,fake
62,70920,fake
62,51521,fake
34,51644,fake
23,29738,fake
64,123770,fake
60,63281,fake
60,83615,fake
65,85592,fake
43,135700,fake
50,51214,fake
36,57284,fake
28,49062,fake
59,26641,fake
50,38486,fake
